disposition,orbit_period_days,stellar_radius_sun,stellar_effective_temp_kelvin,planet_equilibrium_temp_kelvin,stellar_surface_gravity_log10_cm_s2
0,2.0881134,1.7,6255.8,2665.0,4.11
0,1.25562,1.72,5717.0,2024.0,3.97
0,7.6047417,1.8,9139.0,1948.0,4.29
0,4.8173797,0.69,4651.0,672.0,4.56937
0,5.2651271,1.7,8728.0,1993.0,4.32
1,5.0095595,1.75,6527.0,1883.0,4.11
0,6.1600888,1.55,5772.0,964.0,4.07
1,3.8529998,1.57,6893.4,1604.0,4.22
0,1.06884,4.94,9222.0,3736.0,3.42
0,5.4561177,1.51,7465.0,1480.0,4.31
0,1.7380504,1.45,6026.0,1476.0,4.16
0,1.99143,,9458.2,5058.0,
0,5.7785318,2.92,8224.0,1921.0,3.81
1,1132.0244686,2.07,5984.0,1283.0,3.98
1,6.1982658,1.11,5722.0,,4.35582
0,1.41072,3.84,5197.0,1863.0,
1,6.5601782,2.62,9976.0,3318.0,4.01
0,0.44482,1.88,7184.0,3038.0,4.1
0,1.532703,1.39,6023.1,3568.0,4.24
0,0.7131492,1.93,5128.9,3234.0,3.88
0,4.52318,,,,
1,25.8386422,1.03,5769.0,667.0,4.43
0,0.78381,1.72,7842.0,2743.0,4.22
1,4.4652986,1.18,6051.2,1118.0,4.35
1,3.062624,,5086.8,1053.0,
1,11.0708575,0.700727,4356.0,554.9934842,4.53491
0,2.6380089,2.5,7495.0,3551.0,3.88
0,2.7260173,0.79,5256.0,2317.0,4.59
0,2.86876,2.65,8342.0,1983.0,3.9
0,0.5590256,1.35,,1866.0,
0,2.958148,1.58,6294.0,2311.0,4.13
0,0.98736,1.69,6301.3,1987.0,4.07
0,3.99307,0.93,4731.1,1667.0,4.35
0,8.6795072,1.14,6057.0,1366.0,4.43
1,6.5560604,4.58,8918.0,1588.0,3.51
0,1.3812787,1.38,6483.0,3488.0,4.28
1,2.2813432,2.35511,6174.0,2221.9981475,4.27404
0,5.48923,1.62,6004.0,1987.0,4.06
0,7.3845072,1.43,6149.2,,
0,0.43889,2.32,7111.0,3049.0,3.91
0,2.3359622,2.0780001,7577.0,2362.6020308,4.05
1,6.8674054,1.03,6051.5,1157.0,4.48
1,14.431887,1.03,6051.5,749.0,4.48
0,12.64001,,5195.1,1434.0,
1,10.5739824,1.27,6519.0,1007.0,4.36
1,9.9783319,1.47131,6073.5,1062.3035336,4.1
1,4.4247042,1.49,6594.0,1293.0,4.23
1,2.2222094,1.49,6594.0,1864.0,4.23
1,4.7182888,2.74,6112.0,1516.0,
1,1.0082361,1.13,5795.29,1835.0,4.438
1,1.2168732,0.78,4634.6,980.0,4.51
1,1.4520486,0.69,4184.0,1125.0,4.57376
1,4.731977,0.66,4223.45,367.0,4.61744
1,6.1182129,0.890109,5427.0,891.1240042,4.51461
1,3.0197807,1.58815,7128.0,1813.9505159,4.23768
1,14.4204896,1.41048,6383.0,942.9968937,4.24518
1,1.0697621,0.8,4946.0,1590.0,4.53834
1,3.0726434,1.55831,7164.0,1793.7963398,4.25661
0,0.6763235,2.9486499,8475.0,3663.5419408,3.82228
1,2.8997405,0.82,5224.0,1015.0,4.55801
1,0.8533534,0.608076,3658.0,1026.213105,4.438
1,6.9561134,0.940037,5387.0,872.4987884,4.46259
1,2.8879675,,5780.0,1279.9105013,4.438
1,13.001789,1.00826,5914.0,786.6834253,4.46
0,2.7556532,0.696945,4993.0,967.6926252,4.66918
1,4.8962484,0.799965,4528.99,796.4215716,4.48318
1,1.0318213,1.49,5810.6,2668.0,4.13
0,0.78999,1.1,5558.0,2398.0,4.43
0,12.80758,0.63,5094.4,643.0,
0,11.35626,2.14,6314.0,1731.0,3.87
0,0.6412558,1.47292,5854.65,2573.9569471,4.1262
1,2.3109689,1.95411,6371.0,2068.197749,3.94807
1,7.4341456,0.78,5064.0,733.0,4.57887
1,2.650232,1.94,7400.0,1720.0,4.11
1,6.1095756,0.91,5587.0,916.0,4.51
1,12.4379715,0.476997,3275.0,348.5191947,4.75761
1,29.871853,0.735511,5393.86,474.9939578,4.67802
1,0.6858178,0.82354,5142.0,1707.7366899,4.54622
1,0.8675883,0.74524,5011.22,1474.8095115,4.6136
1,18.840891,1.22,6093.0,868.0,4.32207
1,5.1396666,0.815924,5374.0,883.3765229,5.96065
1,9.4280902,0.82,5374.0,623.0,5.96065
1,27.6438617,1.62,5873.0,801.0,4.043
1,6.267832,1.15,5950.0,1052.0,4.438
1,15.5174519,1.34,5780.0,1056.0,4.438
1,4.6274206,1.34,5780.0,1239.4886654,4.438
1,22.092974,1.24,5885.0,790.0,4.27782
1,0.4090681,0.308799,3328.0,967.4422529,4.91612
1,23.5407467,0.75,5236.0,564.0,4.63898
1,0.4702719,0.92499,5466.0,2147.7419002,4.48625
